Name,Population-weighted tree cover,5-year change,Annual rainfall (inches),Average annual temperature (daily high),Total population,Population density (persons per sq mi),Tree cover in peer cities,List of peer cities
"Port Hadlock-Irondale, Wash.",64.7,5.1,25.8,59.1,11578,1963,NaN,-
"Port Huron, Mich.",35.8,2,35.6,57.4,94420,1749,30.4,"Jackson, Mich. // Bay City, Mich. // Monroe, Mich. // Midland, Mich. // Saginaw, Mich."
"Port Isabel–South Padre Island–Laguna Vista, Texas",6.2,-1.7,28.7,82.6,13398,1410,NaN,-
"Port Jervis, N.Y./Pa.",43.4,2.7,49.3,61.1,21904,2760,NaN,-
"Port Lavaca, Texas",17.6,0,41.1,80.3,14010,1330,NaN,-
"Port Townsend, Wash.",45.7,5.1,22.6,58.8,11834,1561,NaN,-
"Portage, Pa.",35.3,5.1,50.4,58.1,8601,2386,NaN,-
"Portage, Wis.",28.6,-0.2,38.7,56.8,16212,3028,NaN,-
"Portales, N.M.",7,1.4,15,75.3,14975,2883,NaN,-
"Porterville, Calif.",8.1,0.1,12,78.5,76027,4635,11.2,"Tulare, Calif. // Hanford, Calif. // Madera, Calif. // Reedley–Dinuba, Calif. // Visalia, Calif."
"Portland, Ind.",17.1,-1.5,41.7,61.5,7531,1823,NaN,-
"Portland, Maine",42.8,1.6,52.2,56.9,237613,1821,46.8,"Manchester, N.H. // Nashua, N.H./Mass. // Leominster–Fitchburg, Mass. // Dover–Rochester, N.H./Maine // Lewiston, Maine"
"Portland, Mich.",33.4,1.6,38.4,58.6,9647,2220,NaN,-
"Portland, Tenn./Ky.",19,0.1,59.1,68.8,25630,2357,NaN,-
"Portsmouth, N.H./Maine",52.9,-0.6,51.2,58.4,132477,1026,50.4,"Dover–Rochester, N.H./Maine // Norwich–New London, Conn. // Portland, Maine // Nashua, N.H./Mass. // Barnstable Town, Mass."
"Portsmouth, Ohio/Ky.",29.7,3.2,46.5,66.1,46680,2055,NaN,-
"Poteau, Okla.",29.7,1.6,55.4,72.8,11363,1786,NaN,-
"Potsdam, N.Y.",26.8,-0.6,42.9,55.2,10502,3491,NaN,-
"Pottsville, Pa.",42.5,2.3,53,61.1,35475,2416,NaN,-
"Powell, Wyo.",11,-0.1,7.2,58.9,6221,2464,NaN,-
"Prairie Grove, Ark.",19.1,2.6,51.9,70.2,8466,2710,NaN,-
"Prairie du Chien, Wis./Iowa",19,-3.2,38,58.1,8565,1507,NaN,-
"Prairie du Sac–Sauk City, Wis.",16.7,-2.4,38.8,57.6,8150,2826,NaN,-
"Pratt, Kan.",18.2,3.6,27.8,69.6,7224,1976,NaN,-
"Prescott Valley East, Ariz.",9.2,1.6,14.7,73.7,9949,2646,NaN,-
"Prescott–Prescott Valley, Ariz.",17.4,1.8,17.8,70.9,106763,2174,11.2,"Flagstaff, Ariz. // St. George, Utah // Sierra Vista, Ariz. // Kingman, Ariz. // Provo–Orem, Utah"
"Presque Isle, Maine",22.6,2.5,46.6,51.7,9238,1715,NaN,-
"Prestonsburg, Ky.",41.2,3.7,52.7,67.3,14433,2048,NaN,-
"Price, Utah",9.1,0.8,9.2,63.7,18897,1880,NaN,-
"Princess Anne, Md.",27.1,2.6,51.5,68,9724,3223,NaN,-
"Princeton, Ill.",20.5,-1.3,41.5,60.2,8611,1398,NaN,-
"Princeton, Ind.",24.1,-1.8,54.4,66.8,13567,3217,NaN,-
"Princeton, Ky.",28.5,0.5,58.6,69.3,6467,1058,NaN,-
"Princeton, Minn.",29.7,0.3,34.6,54.2,8602,2033,NaN,-
"Princeton, Texas",17,-0.4,44.4,76.3,22486,2712,NaN,-
"Princeville, Hawaii",38.2,NaN,NaN,NaN,2294,743,NaN,-
"Prineville, Ore.",8.6,0.5,10.4,63.7,14903,1870,NaN,-
"Prosser, Wash.",10.4,-0.2,7.3,64.9,9658,2029,NaN,-
"Provincetown, Mass.",39,-2.2,48,59.7,5257,421,NaN,-
"Pryor Creek, Okla.",18.4,0.2,47.8,71.7,13815,1914,NaN,-
"Pueblo West, Colo.",4.3,0.1,11.9,69.3,29294,1327,NaN,-
"Pueblo, Colo.",12.9,-1.8,12,70.3,127556,2226,15.1,"Greeley, Colo. // Longmont, Colo. // Lafayette–Erie–Louisville, Colo. // Santa Fe, N.M. // Fort Collins, Colo."
"Pukalani–Haiku-Pauwela–Makawao, Hawaii",28.3,NaN,NaN,NaN,28384,1777,NaN,-
"Pulaski, Tenn.",31.1,0.5,61,71.1,13488,2676,NaN,-
"Pulaski, Va.",34.9,1.6,46.9,64.6,22794,1470,NaN,-
"Pullman, Wash.",16,-0.1,22.8,60,33625,4142,NaN,-
"Punxsutawney, Pa.",45.5,4.9,49.5,59.9,9447,2452,NaN,-
"Pupukea, Hawaii",29,NaN,NaN,NaN,15119,1898,NaN,-
"Purcell, Okla.",24,4.7,40.5,73.3,11852,2375,NaN,-
"Purcellville, Va.",33.9,3.4,47.4,65.5,25200,3337,NaN,-
"Putnam–Killingly, Conn.",54.3,-4.1,52.5,60.7,56337,1762,47.5,"Pittsfield, Mass. // Kingston, N.Y. // Dover–Rochester, N.H./Maine // Saratoga Springs, N.Y. // Amherst Town–Northampton–Easthampton Town, Mass."
"Quartzsite, Ariz.",4.7,0.7,4.2,88,2364,728,NaN,-
"Quincy, Fla.",53.4,-3,63.2,79.7,12321,2003,NaN,-
"Quincy, Ill.",22.4,-0.1,40.8,63.4,49816,2189,NaN,-
"Quincy, Wash.",3.3,0.2,9.7,62.3,9076,1754,NaN,-
"Racine, Wis.",22.5,-1.3,36.5,57.3,139441,2522,24.2,"Kenosha, Wis. // Janesville, Wis. // Beloit, Wis./Ill. // DeKalb, Ill. // Round Lake Beach–McHenry–Grayslake, Ill./Wis."
"Radford, Va.",34.3,-0.5,44.5,65,26534,1998,NaN,-
"Rainbow Springs, Fla.",61.1,-2.1,63.1,82.4,7095,1241,NaN,-
"Ramona, Calif.",18.2,6.5,15.4,75.5,22096,3224,NaN,-
"Rancho Calaveras, Calif.",24.1,4.5,24.2,75.9,14761,2039,NaN,-
"Ranson–Charles Town, W.Va.",24.5,2.1,43.6,65.5,34471,2943,NaN,-
"Rantoul, Ill.",16.7,0.3,41.5,62.4,14207,1557,NaN,-
"Rapid City, S.D.",14.5,-1.7,21.1,60,99830,1879,11.1,"Castle Rock, Colo. // Bismarck, N.D. // Lafayette–Erie–Louisville, Colo. // Cheyenne, Wyo. // Casper, Wyo."
"Rathdrum, Idaho",14.5,-0.7,28.9,58.1,13987,3280,NaN,-
"Raton, N.M.",16.9,-2.2,15.9,65.5,5718,1525,NaN,-
"Ravena–Bethlehem, N.Y.",46.2,1.5,44.3,60.2,18963,1173,NaN,-
"Rawlins, Wyo.",6.3,2.2,11.4,56.4,7848,1641,NaN,-
"Raymond, N.H.",60,-4.3,48,59.1,17834,2852,NaN,-
"Raymondville, Texas",12,-1.6,27.6,85.1,15749,2770,NaN,-
"Rayne, La.",18.7,-0.4,65.4,78.5,9591,2016,NaN,-
"Red Bluff, Calif.",21.8,0.5,23.7,77.3,27897,2762,NaN,-
"Red Oak, Iowa",30.7,1.2,35.8,61.9,5667,2035,NaN,-
"Red Wing, Minn.",40.9,0.4,35.4,55.1,17386,2110,NaN,-
"Redding, Calif.",26,-2.1,38.4,76.7,133235,1950,27,"Chico, Calif. // Santa Cruz, Calif. // Grants Pass, Ore. // Petaluma, Calif. // Santa Rosa, Calif."
"Redmond, Ore.",9,2.1,9.1,63,34827,2434,NaN,-
"Redwood Falls, Minn.",24.3,-0.1,31.2,55.7,5397,1655,NaN,-
"Reedley–Dinuba, Calif.",11.6,2.5,11.7,79,52965,5467,10.2,"Hanford, Calif. // Tulare, Calif. // Porterville, Calif. // Turlock, Calif. // Madera, Calif."
"Reedsburg, Wis.",21.5,1.1,39.5,56.6,12635,2197,NaN,-
"Reedsport, Ore.",34,2.4,72.1,60.4,4938,2379,NaN,-
"Reidsville, N.C.",43.1,-0.8,50.2,70.1,24599,1920,NaN,-
"Rensselaer, Ind.",13.9,-2.1,40.4,60.9,7811,2420,NaN,-
"Republic, Mo.",19.5,2.8,52.1,67.9,23266,2495,NaN,-
"Rexburg, Idaho",8.6,0.6,14.3,56.9,46963,4956,NaN,-
"Rhinelander, Wis.",44.5,-0.8,35.4,51.4,17546,1567,NaN,-
"Rice Lake, Wis.",26.8,0.4,34.7,53.2,10900,1310,NaN,-
"Richfield, Utah",8.9,0.6,12.3,66.2,9078,1918,NaN,-
"Richland Center, Wis.",38.3,-2.5,39.2,57.1,5928,2044,NaN,-
"Richlands, Va.",41.8,0.8,51.4,64.8,14444,1721,NaN,-
"Richmond, Ind./Ohio",31.5,0.6,46,62.4,47309,1884,NaN,-
"Richmond, Ky.",22.5,3.5,56.9,66.7,55356,2329,23.8,"London–Corbin, Ky. // Columbus, Ind. // Owensboro, Ky. // Elizabethtown–Radcliff, Ky. // Bowling Green, Ky."
"Richmond, Mich.",28.2,0.2,37.5,58,10945,3666,NaN,-
"Richmond, Mo.",26.8,0.7,43.6,65,8203,1863,NaN,-
"Ridgecrest, Calif.",5.9,-0.9,5,80.7,30874,2160,NaN,-
"Ridgefield, Conn.",70.1,-0.1,55.6,60.1,33844,1085,NaN,-
"Ridgefield, Wash.",27.6,0.2,48.3,62.2,16676,2485,NaN,-
"Ridgway, Pa.",43.5,1.2,46.9,58.2,6341,2476,NaN,-
"Rifle, Colo.",10,-1.3,11.9,64.7,13241,3560,NaN,-
"Rigby, Idaho",9.1,1.9,12.7,57.6,18893,2479,NaN,-
"Rincon, Ga.",50,-1.4,54.1,78.2,18705,2126,NaN,-
"Rio Grande City–Roma, Texas",15.4,3.3,21.2,88.4,55869,2881,13.8,"Eagle Pass, Texas // Harlingen, Texas // Brownsville, Texas // Laredo, Texas // McAllen, Texas"
"Rio Verde, Ariz.",12.3,1.2,11.2,85.3,2942,967,NaN,-
"Rio Vista, Calif.",7.2,1.2,18.7,75.8,10541,2914,NaN,-
"Ripley, Tenn.",32.7,4.9,57.4,70.7,9535,1282,NaN,-
"Ripon, Calif.",13.8,3.4,12.9,76.7,19301,4264,NaN,-
"Ripon, Wis.",26.1,-1.6,38.2,55.4,9109,2096,NaN,-
"Rising Sun, Md.",45.7,2.6,54.6,63.9,13661,2604,NaN,-
"River Falls, Wis.",31.7,2,34.9,54.4,20653,3138,NaN,-
"Riverhead–Southold, N.Y.",45.9,-3.7,48.4,61.4,65267,1157,50.1,"Putnam–Killingly, Conn. // Glens Falls, N.Y. // Saratoga Springs, N.Y. // Amherst Town–Northampton–Easthampton Town, Mass. // Norwich–New London, Conn."
"Riverton, Wyo.",12.4,0.7,9.9,59.7,14780,2153,NaN,-
"Roanoke Rapids, N.C.",36.6,1.8,51.2,71.3,32136,2031,NaN,-
"Roanoke, Va.",39.4,1,49.7,67.8,236278,1873,45.4,"High Point, N.C. // Charleston, W.Va. // Burlington, N.C. // Lynchburg, Va. // Greensboro, N.C."
"Roaring Spring, Pa.",27.9,5.7,43.8,61.2,12036,1841,NaN,-
"Robertsdale, Ala.",30,-3.8,75.5,78,15279,2607,NaN,-
"Robinson, Ill.",18.7,-0.5,51.1,65.5,7964,1766,NaN,-
"Robstown, Texas",11.6,-1.8,30.5,83,12612,3440,NaN,-
"Rochelle, Ill.",12.5,-0.8,38.8,58.8,14375,1501,NaN,-
"Rochester, Ind.",20.5,-0.3,40,60.4,10785,1738,NaN,-
"Rochester, Minn.",26.3,0.7,36.9,55,133801,2552,26.9,"St. Cloud, Minn. // Waterloo, Iowa // Eau Claire, Wis. // La Crosse, Wis./Minn. // Mankato, Minn."
"Rock Springs, Wyo.",4.2,-2,10,58.5,26818,1963,NaN,-
"Rockaway Beach, Ore.",36.7,-0.8,92.7,59.2,2989,1324,NaN,-
"Rockdale, Texas",33.1,0.1,38.6,80,6572,1969,NaN,-
"Rockingham, N.C.",50.5,1.1,51.7,74.3,29744,1288,NaN,-
"Rockland, Maine",44.3,4.4,58.5,55.1,12672,908,NaN,-
"Rockmart, Ga.",42.3,-0.3,55.4,73.4,14026,1705,NaN,-
"Rockport, Texas",32.8,-4.1,35.1,80.4,20088,1036,NaN,-
"Rocky Mount, N.C.",39.7,1.2,51.4,72.2,75423,1677,42.2,"Goldsboro, N.C. // Clayton, N.C. // Williamsburg, Va. // Wilson, N.C. // Greenville, N.C."
"Rocky Mount, Va.",41.3,2.4,53.6,68.1,12241,1811,NaN,-
"Rogersville, Tenn.",39,0.2,53.7,68.3,8431,1385,NaN,-
"Rolla, Mo.",33.7,-0.9,49.4,66.9,25422,2189,NaN,-
"Rome, Ga.",48.6,-0.3,57.8,73.6,75309,1643,45.5,"Winder, Ga. // Dalton, Ga. // Cartersville, Ga. // Cleveland, Tenn. // Anniston–Oxford, Ala."
"Rome, N.Y.",29.5,-0.1,51.2,57.4,37260,2145,NaN,-
"Roosevelt, Utah",7.5,0.6,7.2,62.5,10438,3133,NaN,-
"Rosamond, Calif.",3,-0.2,5.8,77.9,19701,3510,NaN,-
"Roseburg, Ore.",20,1.9,33.2,67.6,49382,2332,NaN,-
"Roswell, N.M.",10.5,1,11.9,78.1,51995,2068,9,"Los Lunas, N.M. // Las Cruces, N.M. // Midland, Texas // Odessa, Texas // Lubbock, Texas"
"Roxboro, N.C.",44.6,1.4,50.9,70.8,20645,2537,NaN,-
"Roxborough Park, Colo.",9.9,-0.1,20.9,64.6,9552,2535,NaN,-
"Royse City, Texas",9.9,0.3,46.1,76.6,21727,3541,NaN,-
"Ruidoso, N.M.",30.4,6.1,20.1,65.9,14025,832,NaN,-
"Rumford, Maine",47,7.2,51,54.6,7869,2461,NaN,-
"Running Springs, Calif.",45.7,-8.9,25.1,66.2,5117,1403,NaN,-
"Rupert, Idaho",11.2,0.1,12.1,61.9,10614,3839,NaN,-
"Rushville, Ind.",19.6,-1.7,48,62.8,10818,3756,NaN,-
"Russell, Kan.",12.1,3.8,25.3,68.3,4343,1904,NaN,-
"Russells Point, Ohio",19.6,-1.9,42.4,61.5,10179,1622,NaN,-
"Russellville, Ala.",42.3,0.9,66.5,72.1,15998,2306,NaN,-
"Russellville, Ark.",29.8,0.6,54.1,73,43161,2223,NaN,-
"Russellville, Ky.",36.9,0,59.7,68.8,13399,2000,NaN,-
"Ruston, La.",46.4,-2.8,61.7,76.5,33288,1360,NaN,-
"Rutland, Vt.",37.6,3.9,44.2,57.1,25794,1866,NaN,-
"Safford, Ariz.",7.7,1.9,8.6,81.6,21542,2105,NaN,-
"Saginaw, Mich.",26.2,0.9,36.2,57.7,131288,1921,35,"Jackson, Mich. // Port Huron, Mich. // Bay City, Mich. // Midland, Mich. // Flint, Mich."
"Sahuarita, Ariz.",18.6,6.1,11.4,84.4,18893,3617,NaN,-
"Salamanca, N.Y.",37.8,-3.1,47.9,57.1,7797,1543,NaN,-
"Salem, Ill.",28.9,-3.2,49.7,65.5,9503,1922,NaN,-
"Salem, Ind.",19.5,-0.2,51.5,65.8,8938,2233,NaN,-
"Salem, Mo.",27.4,-3.6,48.9,67.4,5444,1742,NaN,-
"Salem, N.J.",23.9,0.2,50.3,65.8,8744,2778,NaN,-
"Salem, Ohio",35,2.5,44.1,60.6,20137,1860,NaN,-
"Salida, Colo.",13.5,-0.2,10.7,63.2,7161,2505,NaN,-
"Salina, Kan.",21.2,2.8,30.1,68.9,49367,2190,NaN,-
"Salinas, Calif.",11.5,0,14.9,70.3,184235,6023,12,"Vallejo, Calif. // Santa Maria, Calif. // Livermore–Pleasanton–Dublin, Calif. // Watsonville, Calif. // Lompoc, Calif."
"Salisbury, Md./Del.",37.9,2.2,52.6,67.9,90063,1798,39.6,"Vineland, N.J. // Lexington Park–California–Chesapeake Ranch Estates, Md. // Waldorf, Md. // Dover, Del. // Middletown, Del."
"Sallisaw, Okla.",22.3,0.4,52.1,72.8,8844,1627,NaN,-
"San Angelo, Texas",17.3,0.6,23.4,80,103565,2067,13.4,"New Braunfels, Texas // Abilene, Texas // Midland, Texas // Odessa, Texas // Lubbock, Texas"
"San Diego Country Estates, Calif.",21.3,6.2,16,74.8,10625,3255,NaN,-
"San Luis Obispo, Calif.",16.5,1.2,18.7,74.2,58405,4136,13.2,"Arroyo Grande–Grover Beach–Pismo Beach, Calif. // Hollister, Calif. // Lodi, Calif. // Santa Maria, Calif. // Santa Barbara, Calif."
"San Luis, Ariz.",3.6,0.5,2.8,90,31114,8298,NaN,-
"San Marcos, Texas",26.7,0.2,35.3,81.1,87419,3265,21.4,"Victoria, Texas // New Braunfels, Texas // Temple, Texas // College Station–Bryan, Texas // Killeen, Texas"
"Sandersville, Ga.",48.2,1.1,52.4,76.3,10055,1205,NaN,-
"Sandpoint, Idaho",26.6,1.2,34.6,57.7,20956,2235,NaN,-
"Sandusky–Port Clinton, Ohio",22.2,0.7,37.1,60.3,70582,1212,32,"Monroe, Mich. // Lima, Ohio // Port Huron, Mich. // Jackson, Mich. // South Lyon–Hamburg–Genoa, Mich."
"Sandy, Ore.",33.1,3.3,63.3,61.1,18039,4255,NaN,-
"Sanford, Maine",44.9,2.8,53.2,57.5,20923,3455,NaN,-
"Sanford, N.C.",47.6,-0.3,53,72.6,49124,1397,NaN,-
"Sanger, Calif.",10.5,0.4,13.1,79.2,27986,5842,NaN,-
"Sanger, Texas",12.2,1.5,39.2,76.4,13013,2428,NaN,-
"Santa Barbara, Calif.",23.2,-1.4,17.3,74,209085,3694,12.5,"Thousand Oaks, Calif. // Santa Maria, Calif. // Simi Valley, Calif. // Oxnard–San Buenaventura (Ventura), Calif. // Camarillo, Calif."
"Santa Cruz, Calif.",38.4,2.7,34.5,71.7,184184,2964,23.5,"Chico, Calif. // Santa Rosa, Calif. // Napa, Calif. // Grants Pass, Ore. // Petaluma, Calif."
"Santa Fe, N.M.",15.4,1.7,12.1,66,102409,2185,12.4,"Castle Rock, Colo. // Lafayette–Erie–Louisville, Colo. // Pueblo, Colo. // Grand Junction, Colo. // Farmington, N.M."
"Santa Maria, Calif.",8.7,1.7,15.9,72.5,147886,4962,14.3,"Salinas, Calif. // Santa Barbara, Calif. // San Luis Obispo, Calif. // Oxnard–San Buenaventura (Ventura), Calif. // Lompoc, Calif."
"Santa Paula, Calif.",12.6,0.7,15.6,76,33453,6750,NaN,-
"Saranac Lake, N.Y.",58.2,1,45.9,52.9,9992,2758,NaN,-
"Saratoga Springs, N.Y.",53.1,1.3,48.4,59.4,98720,1671,46.6,"Amherst Town–Northampton–Easthampton Town, Mass. // Glens Falls, N.Y. // Pittsfield, Mass. // Norwich–New London, Conn. // Danbury, Conn./N.Y."
"Sauk Centre, Minn.",22.7,-0.6,30,53,7737,1555,NaN,-
"Sault Ste. Marie, Mich.",32.8,-0.4,37.6,51.2,17704,2146,NaN,-
"Savannah, Mo.",22.6,0.3,39.2,63.4,6384,1948,NaN,-
"Savannah, Tenn.",37.6,-1.6,60,72.4,13229,1493,NaN,-
"Sayre–Waverly, Pa./N.Y.",28.7,3.4,38.1,59.9,22429,2790,NaN,-
"Scappoose, Ore.",25.5,1.3,42.7,63.2,14007,2027,NaN,-
"Schuyler, Neb.",13.6,-3.2,29.3,62,6636,2519,NaN,-
"Schuylkill Haven–Orwigsburg, Pa.",36.9,1.6,53.3,61.6,18162,1690,NaN,-
"Scott City, Mo.",19.6,0,55.8,68.7,10687,1327,NaN,-
"Scottsbluff, Neb.",10.1,-0.1,16.5,64.5,25957,1749,NaN,-
"Scottsboro, Ala.",43.3,1.9,62.8,72.3,15033,1219,NaN,-
"Scottsburg, Ind.",22.5,0.5,49.8,66.4,9947,2044,NaN,-
"Scottsville, Ky.",28.9,4.1,58.7,69.2,8266,1740,NaN,-
"Seabrook Island, S.C.",42.9,-1.1,54,76.4,5315,607,NaN,-
"Seaford–Laurel–Bridgeville, Del.",34.9,0,50.5,67.6,46549,1902,NaN,-
"Sealy, Texas",15.9,0.2,45.7,80.7,12223,2129,NaN,-
"Searcy, Ark.",33.7,1.2,59,72,35356,1653,NaN,-
"Seaside, Ore.",23.8,-0.2,89.2,59.2,10664,2092,NaN,-
"Seaside–Monterey–Pacific Grove, Calif.",21.4,2.3,18.1,67.8,127754,3095,15,"Gilroy–Morgan Hill, Calif. // Vallejo, Calif. // Medford, Ore. // Watsonville, Calif. // Livermore–Pleasanton–Dublin, Calif."
"Sebastopol, Calif.",31.8,3.1,34.3,70.2,26332,1685,NaN,-
"Sebring–Avon Park, Fla.",31.6,2.3,58.3,84.9,75901,1567,35.5,"Zephyrhills, Fla. // Titusville, Fla. // Four Corners, Fla. // Vero Beach–Sebastian, Fla. // Port Charlotte–North Port, Fla."
"Sedalia, Mo.",27.1,1.9,42.2,65.8,33843,1978,NaN,-
"Sedona, Ariz.",25.7,3.3,18,75.5,10182,815,NaN,-
"Seguin, Texas",27,0.6,32.6,81.6,37842,1794,NaN,-
"Selma, Ala.",43.5,-2.2,58.9,76.9,25295,1375,NaN,-
"Selma, Calif.",9.8,0.5,10.5,79,37033,3372,NaN,-
"Seminole, Okla.",27.2,2,41.7,73,8113,1517,NaN,-
"Seminole, Texas",6.4,-0.5,13.5,77.1,9908,3253,NaN,-
"Senatobia, Miss.",38,-0.7,60.5,73,8656,2188,NaN,-
"Seneca, S.C.",58.1,-0.4,60.4,72.9,31980,1000,NaN,-
"Sequim, Wash.",23.8,0.9,21.3,57.9,30905,935,NaN,-
"Severance, Colo.",6.4,1.8,14.8,65.9,11140,5659,NaN,-
"Sevierville, Tenn.",37.3,0.7,54.4,70.4,49986,1079,NaN,-
"Seward, Neb.",23.5,0.7,30.2,62.8,7967,2300,NaN,-
"Seymour, Ind.",13.9,-0.6,50.5,65.6,28799,1999,NaN,-
"Seymour, Tenn.",33.4,1.5,57.7,70.1,27305,1973,NaN,-
"Shafter, Calif.",14,4,7.1,79.3,23833,4435,NaN,-
"Shamokin–Mount Carmel, Pa.",27.7,5.4,51.3,60.7,35386,4465,NaN,-
"Sharon–Hermitage, Pa./Ohio",35.1,3.5,46.3,60.4,55167,1891,39.5,"Medina, Ohio // Butler, Pa. // Monessen, Pa. // Wheeling, W.Va./Ohio // Steubenville–Weirton, Ohio/W.Va./Pa."
"Shawano, Wis.",34.4,-2.5,36,54.4,19120,1719,NaN,-
"Shawnee, Okla.",25.6,3.4,41.4,72.6,44562,2364,NaN,-
"Sheboygan, Wis.",22,-4.1,35.4,54.4,81300,2278,24.4,"Oshkosh, Wis. // Fond du Lac, Wis. // Grafton–Port Washington–Cedarburg, Wis. // Green Bay, Wis. // Appleton, Wis."
"Shelby, N.C.",45.1,3.6,51.9,72,37058,1413,NaN,-
"Shelby, Ohio",20.1,1.9,44.1,60.7,12513,2468,NaN,-
"Shelbyville, Ill.",26.6,-0.2,44.3,64.2,5953,1913,NaN,-
"Shelbyville, Ind.",15.9,-0.2,46.3,63.7,25064,2573,NaN,-
"Shelbyville, Ky.",23.1,2.4,54.7,66.9,26908,2311,NaN,-
"Shelbyville, Tenn.",27.4,-0.3,62.1,70.8,28978,2206,NaN,-
"Sheldon, Iowa",17.4,-0.7,32.2,57.7,6841,2431,NaN,-
"Shelley, Idaho",10,2.2,11.7,58.7,7081,3286,NaN,-
"Shelton, Wash.",39,-1.3,74,60.4,21977,1855,NaN,-
"Shenandoah, Iowa",22,-2.9,35.8,62.7,5745,1927,NaN,-
"Shenandoah–Frackville, Pa.",33.4,2.4,55.2,59.2,17399,4263,NaN,-
"Sheridan, Ark.",46.5,1.2,62.1,73.5,8305,1847,NaN,-
"Sheridan, Ore.",13,1.9,49.3,62.5,8811,5236,NaN,-
"Sheridan, Wyo.",13.4,-0.5,17.8,59.9,24632,1899,NaN,-
"Sherman–Denison, Texas",34,0.7,47.3,74.9,80953,2097,31.8,"Cleburne, Texas // Norman, Okla. // Longview, Texas // Fort Smith, Ark./Okla. // Tyler, Texas"
"Shinnston, W.Va.",41.5,0.4,49.6,64.5,13043,2203,NaN,-
"Shippensburg, Pa.",18.5,1.9,44.5,63.3,28340,2879,NaN,-
"Shiprock, N.M.",4,-0.2,8.5,71.3,7532,1429,NaN,-
"Show Low, Ariz.",40.4,10.1,18.3,66.9,20361,1416,NaN,-
"Sidney, Mont.",7.6,0.7,15.2,57.2,7836,1112,NaN,-
"Sidney, Neb.",6,-0.1,17.5,64.3,6453,1515,NaN,-
"Sidney, N.Y.",35.2,1,46.6,58.1,8155,2871,NaN,-
"Sidney, Ohio",23.4,0.5,43.8,61.7,25694,2429,NaN,-
"Sierra Vista, Ariz.",8.4,-0.2,14.5,78.1,57677,2040,8.7,"Casa Grande, Ariz. // Kingman, Ariz. // Prescott–Prescott Valley, Ariz. // St. George, Utah // Las Cruces, N.M."
"Sikeston, Mo.",17.1,2,55.4,69.3,21588,1639,NaN,-
"Siler City, N.C.",50.1,1.8,49.5,71.2,12531,2427,NaN,-
"Siloam Springs, Ark./Okla.",23.4,1.9,52.3,70.2,24106,2515,NaN,-
"Silsbee, Texas",46.9,1.9,65.4,79.6,19029,1566,NaN,-
"Silver City, N.M.",6.3,-5,17.3,70.4,17436,1622,NaN,-
"Silver Creek, N.Y.",32.1,-4.5,44,58.5,5532,1563,NaN,-
"Silver Lakes, Calif.",4.8,-1.1,4.6,79.6,5532,2205,NaN,-
"Silverthorne–Keystone, Colo.",20.3,-0.8,19.6,52.6,15891,1346,NaN,-
"Silverton, Ore.",22.4,-1.1,42.4,63.4,14138,3861,NaN,-
"Simi Valley, Calif.",13,1.1,15.1,76.3,136290,3474,16,"Merced, Calif. // Santa Barbara, Calif. // Camarillo, Calif. // Thousand Oaks, Calif. // Santa Clarita, Calif."
"Sinton, Texas",17.6,-3,35.4,82,6186,2675,NaN,-
"Sioux Center, Iowa",11,0.3,32,58.3,9647,1732,NaN,-
"Sioux City, Iowa/Neb./S.D.",23.5,-1.1,31.1,60.4,119480,2131,20.4,"Sioux Falls, S.D. // Mankato, Minn. // Grand Island, Neb. // Lincoln, Neb. // Omaha, Neb./Iowa"
"Sioux Falls, S.D.",16.8,-1.1,30.2,57.4,201873,2931,24.2,"Lincoln, Neb. // St. Cloud, Minn. // Sioux City, Iowa/Neb./S.D. // Mankato, Minn. // Omaha, Neb./Iowa"
"Sitka, Alaska",54.2,NaN,111.4,49.7,8457,1311,NaN,-
"Skiatook, Okla.",21.2,3,40.8,72.4,8942,2137,NaN,-
"Skowhegan, Maine",37.1,1.5,46.7,55.5,8012,2754,NaN,-
"Slatington, Pa.",41,4.1,56.6,61.5,14174,3652,NaN,-
"Slaton, Texas",9.5,-0.8,18.3,75.8,5728,2095,NaN,-
"Slidell, La.",41.9,-0.7,68.1,78.6,104977,1882,43,"Hattiesburg, Miss. // Hammond, La. // Fairhope–Daphne, Ala. // Mandeville–Covington, La. // Houma, La."
"Slippery Rock, Pa.",47.3,6.2,48,60.4,12809,2828,NaN,-
"Smithfield, N.C.",35.5,0.2,54,72.6,34071,1999,NaN,-
"Smithfield, Va.",35,-2.6,55.3,70.7,14689,2049,NaN,-
"Smithville, Mo.",26.2,2.5,42.3,65.2,12314,1751,NaN,-
"Smithville, Tenn.",24.3,-0.6,63.8,69.5,8400,2110,NaN,-
"Snoqualmie, Wash.",48.9,5.6,70.4,59,19963,2867,NaN,-
"Snowflake, Ariz.",7.7,-0.3,12.2,70.4,11681,3185,NaN,-
"Snowmass Village, Colo.",34.3,-1.4,25.8,54.6,4204,1536,NaN,-
"Snyder, Texas",13.8,4,21.2,77.4,14280,2087,NaN,-
"Socorro, N.M.",7.6,1.4,9.7,76.4,9127,1690,NaN,-
"Soldotna, Alaska",32.1,NaN,19.5,45.5,8860,1444,NaN,-
"Soledad, Calif.",4.2,0.4,14,76.4,18033,7533,NaN,-
"Solvang–Santa Ynez, Calif.",23.3,1.8,17.6,72.6,11876,2163,NaN,-
"Somerset, Ky.",30.2,2.3,59.2,68,44044,1120,NaN,-
